"","year","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice","len","n"
"1","1993",22657,7047,19828,2446,141498,7,73983,1746,13132,165556,5491150,1305
"2","1994",45260,13667,33004,4255,279489,7,126540,3671,25053,301242,9778421,2617
"3","1995",88264,27111,62142,7805,520607,29,234261,7017,41431,531587,17593580,5138
"4","1996",228651,71046,137598,19913,1354497,45,530239,16301,88053,1250924,41459499,9494
"5","1997",248618,81241,158258,22641,1592916,51,588441,17790,97387,1424796,47031071,10119
"6","1998",261118,84042,167405,23495,1555236,397,597440,18508,98341,1470073,48047548,10094
"7","1999",270082,90522,173741,23400,1416118,1228,604162,19280,99221,1532103,49208729,9851
"8","2000",277162,101821,177047,24199,1312453,2012,600046,19723,101725,1570616,49867433,9654
"9","2001",262385,102302,170981,22457,1147649,2177,568755,17931,96109,1475687,46769752,8947
"10","2002",263659,101402,171903,22434,1069279,2321,567325,17625,92486,1420122,45666005,8350
"11","2003",263521,100220,172301,22429,995380,2547,562653,16956,87339,1372082,44367092,8409
"12","2004",282691,109900,186896,24787,1020835,3103,617919,18281,95823,1482424,47899541,8982
"13","2005",256501,91915,172104,23786,926871,1597,564201,16282,93869,1309615,43536077,8978
"14","2006",241816,83516,155426,20964,823302,1098,512003,13639,90940,1187675,39377563,8932
"15","2007",247702,87904,157658,21202,804243,1267,512961,13462,91365,1206268,39612843,8408
"16","2008",285977,102965,181779,26558,934466,1349,601406,14663,103280,1378538,46013360,9296
"17","2009",289486,102487,180594,26544,930161,1095,609191,14435,106478,1379016,46214039,9268
"18","2010",306498,102999,187059,26238,925046,1010,629743,14250,105326,1369044,46263536,8905
"19","2011",302994,102419,184922,25890,894704,1048,618167,13952,107643,1327075,45006365,8592
"20","2012",294609,98076,180143,25173,858036,951,593636,13219,102456,1280007,43427990,8258
"21","2013",304542,104911,177397,24621,839631,972,588385,12884,102528,1276050,42984767,8153
"22","2014",322668,111706,177652,24835,837598,979,587904,13301,104256,1283195,43203618,7987
"23","2015",329646,113544,173151,24405,816308,1105,568405,13167,102844,1255938,42215041,7707
"24","2016",323998,110416,168012,22985,783391,977,550539,12787,101745,1206712,40516895,7574
"25","2017",326952,112880,167686,22653,769761,1155,541430,12641,97501,1190972,39981404,7161
"26","2018",338304,119090,168769,23071,767677,1201,535992,13020,97769,1179230,39636562,6984
"27","2019",347607,122334,169475,23004,767733,1319,532926,12890,98243,1185170,39580775,6783
"28","2020",456353,140694,209749,26222,906847,2309,571578,14654,103578,1357097,44589625,6955
