"","year","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice","len","n"
"1","1993",0.00375780630869561,0.00114271588117131,0.00446788832787663,0.000356391016724923,0.0265191226984379,1.6105262062514e-06,0.0120100000737471,0.000327003036100637,0.00243612833839351,0.0342974931412048,5491150,1305
"2","1994",0.0041275983954316,0.00120679258598488,0.00369729710708015,0.000333170861729095,0.0285037702529207,8.03286072429809e-07,0.0119789500755314,0.000397086419975774,0.00269665785385764,0.0340053438519883,9778421,2617
"3","1995",0.00428152359870942,0.00123985203399986,0.00387979931520995,0.000354909424211404,0.0281361132860444,1.26756487235187e-06,0.0128294390383752,0.00040501382169505,0.00242870094026524,0.0332704836110801,17593580,5138
"4","1996",0.0049569016882569,0.00134171338355385,0.00366216241295532,0.000387963844083938,0.0301154838641315,8.31279400811534e-07,0.0122254571121793,0.000402786622229864,0.00218774056570903,0.0353251794142706,41459499,9494
"5","1997",0.00475666216695212,0.00134546925916619,0.00365461797406988,0.00038499794396887,0.0306962688697017,8.07641646788679e-07,0.0118215714213819,0.000376862349816074,0.00212289574473513,0.0367243368618501,47031071,10119
"6","1998",0.00490052433928765,0.00135869507304179,0.003904558852374,0.000413233663210681,0.02989634096984,5.00579293985067e-06,0.0115513123623261,0.000366446796152707,0.00207041094307453,0.0381962989514448,48047548,10094
"7","1999",0.00485483513172931,0.00145127800482629,0.00378051830757944,0.000401971387761129,0.0278788618619658,1.45099767152302e-05,0.0114755357958891,0.000374818764386311,0.00209479869765043,0.0380025143193593,49208729,9851
"8","2000",0.00493929309652856,0.00157153503419861,0.00384220881131241,0.000404096812246875,0.0263291304876487,2.37630935336031e-05,0.0112541480028401,0.000377712021986584,0.00208623346600878,0.0391486530828938,49867433,9654
"9","2001",0.00506938306834077,0.00163336765690391,0.00396557811088389,0.000397816183577008,0.0242105367349923,2.73463486007907e-05,0.0110921444478113,0.000350918089890717,0.00201646812294177,0.0429046983219934,46769752,8947
"10","2002",0.00543249094506768,0.00162615048582977,0.00400530405110187,0.000395231207704879,0.0227576444615628,2.90875165427201e-05,0.0110731565184167,0.000346662202860137,0.00196279922902776,0.0452758427809707,45666005,8350
"11","2003",0.00554799935495103,0.00144032471114202,0.00384649982091026,0.00036814147344944,0.0200092733073934,3.02452269242187e-05,0.0104126101300156,0.000313116971486542,0.00175253767329223,0.0581911607522586,44367092,8409
"12","2004",0.00556863715979556,0.00135109166514718,0.00381910319024399,0.000521041096745042,0.0177201600280173,3.23116947796578e-05,0.00978254746709664,0.000285746480596451,0.0016459454553574,0.0658731523628566,47899541,8982
"13","2005",0.006246159913768,0.00133556255850458,0.00381670747126944,0.00052628579437375,0.017781486141849,2.10129485324487e-05,0.00972722820980685,0.000288596061762138,0.00172588623337426,0.059616761307379,43536077,8978
"14","2006",0.00395287660898151,0.00129908303349592,0.00319781041020182,0.000533798015592937,0.0173542224388629,1.81103765835725e-05,0.0108463778739107,0.000261617768393854,0.00172224763939277,0.0705662679826256,39377563,8932
"15","2007",0.00442456602325393,0.00144233658197057,0.00321540110214926,0.00054238326055668,0.01831001722671,2.14392404022472e-05,0.0110519693895234,0.000267892885858661,0.00182769490689182,0.0616791214051923,39612843,8408
"16","2008",0.0052429941589193,0.00171469654959154,0.00358883923913994,0.000630939872222268,0.0215536294895111,2.15902204634288e-05,0.0115394671629489,0.000281959196774305,0.002025003389089,0.0394637131700514,46013360,9296
"17","2009",0.00552980766982859,0.00175649737905411,0.00365416355168813,0.000636792328009961,0.0221795566888673,2.01539823009424e-05,0.0119030419650215,0.000289518956243385,0.00213112893133749,0.0374427921984341,46214039,9268
"18","2010",0.00573918082418971,0.00175796443624027,0.00371393559791828,0.000625532526036586,0.0219178186853225,1.92759192427213e-05,0.0121460546189651,0.000291846777656764,0.00208474594365929,0.0370589883379988,46263536,8905
"19","2011",0.00575188722522782,0.00175809623897387,0.00371984805664902,0.000587374133319249,0.0216618451631875,2.0412176264459e-05,0.0120627762141614,0.00028848138743433,0.00218053882268718,0.038413445482078,45006365,8592
"20","2012",0.00570906079072205,0.00174964124636178,0.00370990993354164,0.000558320040520868,0.0211086024622744,1.90172617712764e-05,0.0118836837580564,0.000285638067655723,0.00215402245267041,0.0397785389753507,43427990,8258
"21","2013",0.00572984969084693,0.00177749095661158,0.00359102629323419,0.000506428273580548,0.0204297210301407,1.88142478047678e-05,0.0116928763073783,0.000271043812185613,0.00209898981934728,0.0437671690940213,42984767,8153
